Abreviatura,Valor,id_sistema,data,Sistema
Q Guarat.,0.168,5,2013-07-31,Rio Claro
Q EEAB Bir,0.49,1,2013-08-31,Alto Tietê
Q Rev.Capiv.,0.645,2,2013-08-31,Guarapiranga
Q Rev.Taquac.,1.683,2,2013-08-31,Guarapiranga
Q Guarat.,0.168,5,2013-08-31,Rio Claro
Q EEAB Bir,7.66,1,2013-09-30,Alto Tietê
Q Rev.Capiv.,1.72,2,2013-09-30,Guarapiranga
Q Rev.Taquac.,0,2,2013-09-30,Guarapiranga
Q Guarat.,0.168,5,2013-09-30,Rio Claro
Q EEAB Bir,6.94,1,2013-10-31,Alto Tietê
Q Rev.Capiv.,0,2,2013-10-31,Guarapiranga
Q Rev.Taquac.,0,2,2013-10-31,Guarapiranga
Q Guarat.,0.168,5,2013-10-31,Rio Claro
Q EEAB Bir,6.71,1,2013-11-30,Alto Tietê
Q Rev.Capiv.,0,2,2013-11-30,Guarapiranga
Q Rev.Taquac.,0,2,2013-11-30,Guarapiranga
Q Guarat.,0.168,5,2013-11-30,Rio Claro
Q EEAB Bir,7.18,1,2013-12-31,Alto Tietê
Q Rev.Capiv.,0,2,2013-12-31,Guarapiranga
Q Rev.Taquac.,0,2,2013-12-31,Guarapiranga
Q Guarat.,0,5,2013-12-31,Rio Claro
Q EEAB Bir,5.56,1,2014-01-31,Alto Tietê
Q Rev.Capiv.,0.645,2,2014-01-31,Guarapiranga
Q Rev.Taquac.,2.335,2,2014-01-31,Guarapiranga
Q Guarat.,0,5,2014-01-31,Rio Claro
Q EEAB Bir,6.71,1,2014-02-28,Alto Tietê
Q Rev.Capiv.,0.645,2,2014-02-28,Guarapiranga
Q Rev.Taquac.,2.708,2,2014-02-28,Guarapiranga
Q Guarat.,0,5,2014-02-28,Rio Claro
Q EEAB Bir,6.6,1,2014-03-31,Alto Tietê
Q Rev.Capiv.,1.648,2,2014-03-31,Guarapiranga
Q Rev.Taquac.,1.364,2,2014-03-31,Guarapiranga
Q Guarat.,0,5,2014-03-31,Rio Claro
Q EEAB Bir,8.36,1,2014-04-30,Alto Tietê
Q Rev.Capiv.,1.433,2,2014-04-30,Guarapiranga
Q Rev.Taquac.,3.25,2,2014-04-30,Guarapiranga
Q Guarat.,0,5,2014-04-30,Rio Claro
Q EEAB Bir,8.22,1,2014-05-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2014-05-31,Guarapiranga
Q Rev.Taquac.,3.216,2,2014-05-31,Guarapiranga
Q Guarat.,0.168,5,2014-05-31,Rio Claro
Q EEAB Bir,7.85,1,2014-06-30,Alto Tietê
Q Rev.Capiv.,1.003,2,2014-06-30,Guarapiranga
Q Rev.Taquac.,3.088,2,2014-06-30,Guarapiranga
Q Guarat.,0.168,5,2014-06-30,Rio Claro
Q EEAB Bir,7.9,1,2014-07-31,Alto Tietê
Q Rev.Capiv.,0.717,2,2014-07-31,Guarapiranga
Q Rev.Taquac.,2.913,2,2014-07-31,Guarapiranga
Q Guarat.,0.168,5,2014-07-31,Rio Claro
Q EEAB Bir,8.67,1,2014-08-31,Alto Tietê
Q Rev.Capiv.,0.645,2,2014-08-31,Guarapiranga
Q Rev.Taquac.,3.92,2,2014-08-31,Guarapiranga
Q Guarat.,0.336,5,2014-08-31,Rio Claro
Q EEAB Bir,9.49,1,2014-09-30,Alto Tietê
Q Rev.Capiv.,1.433,2,2014-09-30,Guarapiranga
Q Rev.Taquac.,3.2,2,2014-09-30,Guarapiranga
Q Guarat.,0.168,5,2014-09-30,Rio Claro
Q EEAB Bir,8.91,1,2014-10-31,Alto Tietê
Q Rev.Capiv.,0.255,2,2014-10-31,Guarapiranga
Q Rev.Taquac.,2.15,2,2014-10-31,Guarapiranga
Q Guarat.,0.42,5,2014-10-31,Rio Claro
Q EEAB Bir,8.9,1,2014-11-30,Alto Tietê
Q Rev.Capiv.,1.72,2,2014-11-30,Guarapiranga
Q Rev.Taquac.,3.86,2,2014-11-30,Guarapiranga
Q Guarat.,0.48,5,2014-11-30,Rio Claro
Q EEAB Bir,8.33,1,2014-12-31,Alto Tietê
Q Rev.Capiv.,1.72,2,2014-12-31,Guarapiranga
Q Rev.Taquac.,3.8,2,2014-12-31,Guarapiranga
Q Guarat.,0.48,5,2014-12-31,Rio Claro
Q EEAB Bir,8.7,1,2015-01-31,Alto Tietê
Q Rev.Capiv.,1.21,2,2015-01-31,Guarapiranga
Q Rev.Taquac.,3.15,2,2015-01-31,Guarapiranga
Q Guarat.,0,5,2015-01-31,Rio Claro
Q EEAB Bir,7.75,1,2015-02-28,Alto Tietê
Q Rev.Capiv.,0.562,2,2015-02-28,Guarapiranga
Q Rev.Taquac.,3.944,2,2015-02-28,Guarapiranga
Q Guarat.,0.86,5,2015-02-28,Rio Claro
Q EEAB Bir,7.75,1,2015-03-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2015-03-31,Guarapiranga
Q Rev.Taquac.,4.01,2,2015-03-31,Guarapiranga
Q Guarat.,0.568,5,2015-03-31,Rio Claro
Q EEAB Bir,6.6,1,2015-04-30,Alto Tietê
Q Rev.Capiv.,1.433,2,2015-04-30,Guarapiranga
Q Rev.Taquac.,3.1608,2,2015-04-30,Guarapiranga
Q Guarat.,0.432,5,2015-04-30,Rio Claro
Q EEAB Bir,4.77,1,2015-05-31,Alto Tietê
Q Rev.Capiv.,0.717,2,2015-05-31,Guarapiranga
Q Rev.Taquac.,3.99,2,2015-05-31,Guarapiranga
Q Guarat.,0.475,5,2015-05-31,Rio Claro
Q EEAB Bir,3.82,1,2015-06-30,Alto Tietê
Q Rev.Capiv.,0.76,2,2015-06-30,Guarapiranga
Q Rev.Taquac.,3.95,2,2015-06-30,Guarapiranga
Q Guarat.,0.475,5,2015-06-30,Rio Claro
Q EEAB Bir,1.27,1,2015-07-31,Alto Tietê
Q Rev.Capiv.,0.738,2,2015-07-31,Guarapiranga
Q Rev.Taquac.,4.19,2,2015-07-31,Guarapiranga
Q Guarat.,0.475,5,2015-07-31,Rio Claro
Q EEAB Bir,4.31,1,2015-08-31,Alto Tietê
Q Rev.Capiv.,1.29,2,2015-08-31,Guarapiranga
Q Rev.Taquac.,4.11,2,2015-08-31,Guarapiranga
Q Guarat.,0.475,5,2015-08-31,Rio Claro
Q EEAB Bir,3.47,1,2015-09-30,Alto Tietê
Q Rev.Capiv.,1.433,2,2015-09-30,Guarapiranga
Q Rev.Taquac.,4.31,2,2015-09-30,Guarapiranga
Q Guarat.,0.291,5,2015-09-30,Rio Claro
Q EEAB Bir,4.75,1,2015-10-31,Alto Tietê
Q RG-Taiaçupeba,0.667,1,2015-10-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2015-10-31,Guarapiranga
Q Rev.Taquac.,3.923,2,2015-10-31,Guarapiranga
Q Guarat.,0.484,5,2015-10-31,Rio Claro
Q EEAB Bir,5.56,1,2015-11-30,Alto Tietê
Q RG-Taiaçupeba,1.197,1,2015-11-30,Alto Tietê
Q Rev.Capiv.,0,2,2015-11-30,Guarapiranga
Q Rev.Taquac.,0,2,2015-11-30,Guarapiranga
Q Guarat.,0.484,5,2015-11-30,Rio Claro
Q EEAB Bir,3.94,1,2015-12-31,Alto Tietê
Q RG-Taiaçupeba,2.3,1,2015-12-31,Alto Tietê
Q Rev.Capiv.,0,2,2015-12-31,Guarapiranga
Q Rev.Taquac.,0,2,2015-12-31,Guarapiranga
Q Guarat.,0.484,5,2015-12-31,Rio Claro
Q EEAB Bir,1.16,1,2016-01-31,Alto Tietê
Q RG-Taiaçupeba,2.8,1,2016-01-31,Alto Tietê
Q Transf Guaió,0.3,1,2016-01-31,Alto Tietê
Q Rev.Capiv.,0,2,2016-01-31,Guarapiranga
Q Rev.Taquac.,0,2,2016-01-31,Guarapiranga
Q Guarat.,0.484,5,2016-01-31,Rio Claro
Q EEAB Bir,2.55,1,2016-02-29,Alto Tietê
Q RG-Taiaçupeba,2.33,1,2016-02-29,Alto Tietê
Q Transf Guaió,0.3,1,2016-02-29,Alto Tietê
Q Rev.Capiv.,0,2,2016-02-29,Guarapiranga
